,Timestamp,swe,SnowDepth_m,density,day,labels
69,2021-12-09,175.069,0.6330416666666666,276.5520963601659,09,Dec 09
70,2021-12-10,178.1,0.65375,272.4282982791587,10,Dec 10
71,2021-12-11,178.1,0.6545833333333334,272.0814767663908,11,Dec 11
72,2021-12-12,178.1,0.631375,282.0827558899228,12,Dec 12
73,2021-12-13,178.1,0.6138750000000001,290.12421095499894,13,Dec 13
74,2021-12-14,181.022,0.6352083333333333,284.98051820268944,14,Dec 14
75,2021-12-15,203.057,0.8504583333333334,238.76184410366955,15,Dec 15
76,2021-12-16,206.866,0.843375,245.28353342226177,16,Dec 16
77,2021-12-17,212.331,0.8649999999999999,245.46936416184974,17,Dec 17
78,2021-12-18,212.331,0.8446666666666666,251.37845303867405,18,Dec 18
79,2021-12-19,212.331,0.8264166666666667,256.92971664817986,19,Dec 19
80,2021-12-20,222.197,0.8996666666666666,246.97702852908486,20,Dec 20
81,2021-12-21,222.197,0.8805416666666667,252.3412672124166,21,Dec 21
82,2021-12-22,222.197,0.8640416666666666,257.16005208082174,22,Dec 22
83,2021-12-23,222.197,0.8550416666666667,259.86686808635056,23,Dec 23
84,2021-12-24,237.175,0.9800416666666668,242.00501679350364,24,Dec 24
85,2021-12-25,237.175,0.9526666666666666,248.95906228131565,25,Dec 25
86,2021-12-26,246.995,1.0178333333333334,242.66743081709512,26,Dec 26
87,2021-12-27,255.386,1.0644166666666666,239.9304783527754,27,Dec 27
88,2021-12-28,255.386,1.0416666666666667,245.17055999999997,28,Dec 28
89,2021-12-29,260.439,1.0585833333333332,246.02597811540585,29,Dec 29
90,2021-12-30,260.439,1.045375,249.1345211048667,30,Dec 30
91,2021-12-31,274.994,1.153333333333333,238.43410404624285,31,Dec 31
92,2022-01-01,274.994,1.1268636363636364,244.03485135734743,01,Jan 01
93,2022-01-02,274.994,1.085041666666667,253.4409584885373,02,Jan 02
94,2022-01-03,274.994,0.9805416666666668,280.45111120554117,03,Jan 03
95,2022-01-04,274.994,0.9046666666666666,303.9727339719971,04,Jan 04
96,2022-01-05,288.799,1.031,280.11542192046556,05,Jan 05
97,2022-01-06,293.937,1.059095238095238,277.53594712467964,06,Jan 06
98,2022-01-07,299.06,1.0871904761904765,275.0759931671849,07,Jan 07
99,2022-01-08,304.219,1.1152857142857144,272.77225566799024,08,Jan 08
100,2022-01-09,304.219,1.101,276.3115349682107,09,Jan 09
101,2022-01-10,304.219,1.0869166666666663,279.8917426972323,10,Jan 10
102,2022-01-11,304.219,1.0816,281.26756656804736,11,Jan 11
103,2022-01-12,304.219,1.0755750000000002,282.84313041861327,12,Jan 12
104,2022-01-13,304.219,1.06955,284.4364452339769,13,Jan 13
105,2022-01-14,304.219,1.063525,286.0478126983381,14,Jan 14
106,2022-01-15,304.219,1.0575,287.6775413711584,15,Jan 15
107,2022-01-16,304.219,1.051,289.45670789724073,16,Jan 16
108,2022-01-17,307.575,1.0643333333333334,288.98371437519575,17,Jan 17
109,2022-01-18,310.593,1.0776666666666666,288.20878441076405,18,Jan 18
110,2022-01-19,313.44,1.091,287.2960586617782,19,Jan 19
111,2022-01-20,317.658,1.1178333333333332,284.1729536305353,20,Jan 20
112,2022-01-21,322.033,1.1446666666666667,281.3334304018637,21,Jan 21
113,2022-01-22,326.608,1.1715,278.7947076397781,22,Jan 22
114,2022-01-23,326.608,1.162,281.0740103270224,23,Jan 23
115,2022-01-24,326.608,1.164,280.59106529209623,24,Jan 24
116,2022-01-25,331.596,1.193,277.9513830678961,25,Jan 25
117,2022-01-26,331.596,1.1725,282.8110874200426,26,Jan 26
118,2022-01-27,331.596,1.1685,283.77920410783054,27,Jan 27
119,2022-01-28,331.596,1.1602857142857144,285.7882295001231,28,Jan 28
120,2022-01-29,331.596,1.1545999999999998,287.1955655638317,29,Jan 29
121,2022-01-30,331.596,1.1394285714285717,291.019558676028,30,Jan 30
122,2022-01-31,331.596,1.1458,289.4012916739396,31,Jan 31
